id,identity,seed,arm,within_scale_test,common_fresh_test,mse,rmse,mae,cosine,pearson,source_mse,source_mae
501,N=COCC=O,11,baseline,True,True,0.13245078921318054,0.3639378845691681,0.14787141978740692,0.9398648738861084,0.9297220706939697,8.366505803420477e-05,0.003716456260462845
516,O=CC#CCO,11,baseline,True,True,0.399432510137558,0.6320067644119263,0.26554372906684875,0.9656481742858887,0.9601774215698242,0.00025230913564146056,0.0066739174868001416
526,CCCCC#N,11,baseline,True,True,0.049620673060417175,0.2227569818496704,0.0815025195479393,0.9809026718139648,0.9777837991714478,3.1343841104745756e-05,0.002048404955148947
528,C#CCOCC,11,baseline,True,True,0.014893297106027603,0.1220380961894989,0.05494377762079239,0.9964653253555298,0.9961490035057068,9.407634141695667e-06,0.0013809033997634074
530,C#CCCOC,11,baseline,True,True,0.017239294946193695,0.1312984973192215,0.05681696534156799,0.9760128259658813,0.9737305045127869,1.0889528259591061e-05,0.0014279822757348917
531,COCCC#N,11,baseline,True,True,0.016116376966238022,0.12695029377937317,0.050793763250112534,0.9893458485603333,0.9869118332862854,1.0180215778187635e-05,0.001276600980059195
546,CCCOCC,11,baseline,True,True,0.06345164030790329,0.25189608335494995,0.10999959707260132,0.9582445621490479,0.9485906362533569,4.008043440331523e-05,0.0027646227497957294
577,N#CCN1CC1,11,baseline,True,True,0.010464276187121868,0.10229504853487015,0.039754536002874374,0.9913958311080933,0.9894900918006897,6.609958911399036e-06,0.0009991517929704792
596,OCCC1CO1,11,baseline,True,True,0.00482049398124218,0.06942977756261826,0.029069846495985985,0.9948940873146057,0.9941707849502563,3.0449566294772037e-06,0.000730613212181396
609,CC1CN1C=O,11,baseline,True,True,0.07490372657775879,0.2736854553222656,0.10528557747602463,0.9722790122032166,0.9655795097351074,4.731436232531536e-05,0.002646145171999902
624,COC1CC1O,11,baseline,True,True,0.016829313710331917,0.12972784042358398,0.0442173033952713,0.9701923727989197,0.9648585915565491,1.0630555820883258e-05,0.0011113146425482277
625,OCC1CC1O,11,baseline,True,True,0.02472691610455513,0.15724794566631317,0.05047241970896721,0.9744873642921448,0.9709330797195435,1.5619226455229362e-05,0.0012685246444362204
636,CC(C)N1CC1,11,baseline,True,False,0.04527890682220459,0.2127884179353714,0.09155688434839249,0.958964467048645,0.9474717378616333,2.8601281951652705e-05,0.0023011015686077415
637,CC(O)C1CC1,11,baseline,True,True,0.02264663763344288,0.1504879891872406,0.061244361102581024,0.9712473154067993,0.966221809387207,1.4305179026393104e-05,0.0015392561291760747
660,C1COCCO1,11,baseline,True,True,0.09812727570533752,0.3132527470588684,0.11207249015569687,0.9228280186653137,0.9079113006591797,6.198395846031314e-05,0.002816720825860843
666,CC1C2COC12,11,baseline,True,True,0.0130302794277668,0.11415024846792221,0.0487847663462162,0.979486346244812,0.9758596420288086,8.230823621378068e-06,0.0012261088083368277
667,OC1C2CCC12,11,baseline,True,True,0.04665815457701683,0.21600499749183655,0.07512932270765305,0.8595592975616455,0.8328696489334106,2.9472510006505467e-05,0.0018882272322982667
669,C1=CC2CC2C1,11,baseline,True,True,0.032140303403139114,0.17927716672420502,0.07894504815340042,0.9702929854393005,0.9625747203826904,2.0302033422636572e-05,0.001984127959710251
670,C1=NC2CC2O1,11,baseline,True,True,0.04471535608172417,0.21146005392074585,0.09775177389383316,0.9071604013442993,0.8806902766227722,2.8245304416995465e-05,0.0024567978895542017
671,C1=CC2NC2C1,11,baseline,True,True,0.02230742573738098,0.14935670793056488,0.06354503333568573,0.9821728467941284,0.9783679842948914,1.4090909386034577e-05,0.0015970789845749594
674,C1CC2CC2O1,11,baseline,True,True,0.02502821572124958,0.15820308029651642,0.05682755634188652,0.9505342245101929,0.9428448677062988,1.580954808385969e-05,0.0014282484596228598
677,C1CC2OC2C1,11,baseline,True,True,0.029303161427378654,0.17118166387081146,0.0655243769288063,0.9286900758743286,0.916746199131012,1.8509898778038653e-05,0.0016468258788621436
683,O=C1CC2NC12,11,baseline,True,True,0.03889996185898781,0.1972307413816452,0.0957242101430893,0.9140667915344238,0.8938964605331421,2.4571900143398285e-05,0.002405839076784479
693,OC1CC2OC12,11,baseline,True,True,0.0333188995718956,0.18253464996814728,0.07611692696809769,0.9892144203186035,0.988082230091095,2.1046516090076126e-05,0.0019130487160025967
699,N1C2C3OC2C13,11,baseline,True,True,0.02546866051852703,0.1595890372991562,0.06521740555763245,0.9339889883995056,0.9250800609588623,1.6087763410049792e-05,0.0016391107593629049
706,C1OC1C1CO1,11,baseline,True,True,0.23048311471939087,0.4800865650177002,0.1667124181985855,0.8435126543045044,0.8219969272613525,0.00014558903939685373,0.004189987566236906
726,Cc1ccn[nH]1,11,baseline,True,True,0.5385027527809143,0.7338274717330933,0.24215669929981232,0.9614066481590271,0.9530590176582336,0.0003401554972275755,0.006086130656077255
736,Cc1cc[nH]n1,11,baseline,True,True,0.16612572968006134,0.4075852334499359,0.14426717162132263,0.958404541015625,0.9512683749198914,0.0001049364741216191,0.0036258705970509185
760,Nc1cn[nH]c1,11,baseline,True,True,1.2950316667556763,1.1379945278167725,0.3583935797214508,0.879844605922699,0.8609203696250916,0.0008180313624319612,0.009007515211393865
768,Nc1cn[nH]n1,11,baseline,True,True,0.2428930550813675,0.49284180998802185,0.13887999951839447,0.9809101819992065,0.978012204170227,0.0001534280140587161,0.0034904746597095282
771,Nc1ncon1,11,baseline,True,True,0.13780580461025238,0.37122204899787903,0.16245871782302856,0.98250412940979,0.9798362851142883,8.704765527376497e-05,0.004083079203460653
787,Oc1nn[nH]n1,11,baseline,True,True,0.2839067280292511,0.5328289866447449,0.22306881844997406,0.7462145090103149,0.6859850883483887,0.00017933507997931015,0.005606394447516204
804,ON=C1CC(O)C1,11,baseline,True,True,0.026382766664028168,0.16242772340774536,0.06402383744716644,0.9936328530311584,0.9924447536468506,1.6665175928065695e-05,0.0016091127808298823
808,CCC(CC)=NO,11,baseline,True,True,0.029750265181064606,0.1724826544523239,0.058724116533994675,0.9834337830543518,0.9809643030166626,1.879232036058762e-05,0.0014759147565275522
817,ON=C1CCCC1,11,baseline,True,True,0.054031722247600555,0.23244723677635193,0.10054934769868851,0.9680513143539429,0.9613120555877686,3.4130164149174275e-05,0.002527109385150235
818,ON=C1CCOC1,11,baseline,True,True,0.0623122975230217,0.2496243119239807,0.09988675266504288,0.9660878777503967,0.9606767892837524,3.936074688175167e-05,0.0025104563668422743
819,CC(=NO)C1CC1,11,baseline,True,True,0.06356410682201385,0.2521192133426666,0.09911007434129715,0.9753894805908203,0.9704874157905579,4.015147601420983e-05,0.0024909360902208655
821,CC(=NO)C1CO1,11,baseline,True,True,0.036950573325157166,0.19222532212734222,0.08454348891973495,0.9910063147544861,0.9900535941123962,2.3340531830812015e-05,0.0021248337178938637
826,C#CC(F)(F)F,11,baseline,True,True,17.372922897338867,4.168084144592285,1.2916160821914673,0.7421439290046692,0.7122917175292969,0.010973936894329798,0.032462220770424835
843,Cc1coc(O)n1,11,baseline,True,True,0.0629897192120552,0.2509775161743164,0.11643311381340027,0.9538987278938293,0.9467036128044128,3.978865316500829e-05,0.002926316494283405
846,Cc1nc(N)co1,11,baseline,True,True,0.12066405266523361,0.3473673164844513,0.11649592965841293,0.9943312406539917,0.9936373233795166,7.621974190452384e-05,0.002927895246558789
851,Nc1cc(O)c[nH]1,11,baseline,True,True,0.06129803881049156,0.24758441746234894,0.10157353430986404,0.9354432225227356,0.9236955046653748,3.872007109152326e-05,0.0025528502940321404
863,Cc1ccc(N)[nH]1,11,baseline,True,True,0.02466491609811783,0.15705068409442902,0.07066325098276138,0.9914032816886902,0.9912349581718445,1.558006297294653e-05,0.0017759813348455175
864,Cc1ccc(N)o1,11,baseline,True,True,0.01665959134697914,0.12907204031944275,0.06253161281347275,0.9943252205848694,0.9936412572860718,1.0523347464753664e-05,0.0015716086600884914
