id,A_mse,B_mse,MTO_relative_improvement_percent,A_cosine,B_cosine
127652,0.000235394456962785,0.0002452056148717614,-4.167964715722885,0.8394659010808662,0.7667661218780571
61741,0.00019490911147632486,0.0001061668154083495,45.530091125962926,0.5991471867156161,0.7351319777788238
86228,5.133001323052421e-05,2.2129734506542974e-05,56.887339172974976,0.8309890349223963,0.9126772744915072
15757,0.001596911263673438,0.0023693743353876803,-48.37232282633633,0.6265439678782007,0.3686018402207759
60275,8.645284069180283e-05,2.8723023409840082e-05,66.77607909700126,0.8276729606206529,0.9134404101874077
88905,0.0003659429081345565,0.0002459178179947663,32.79885672648621,0.5650682601624851,0.8050344964770424
106641,8.915491355044091e-05,0.0001253009118547113,-40.54291217928238,0.8316589853891186,0.8097697796941535
636,6.717990718823239e-05,8.664693210839672e-05,-28.977451346604845,0.8479678837554107,0.8172581331565751
110426,4.8149927982120884e-05,2.3542772532069947e-05,51.105279864983615,0.7626969897772011,0.8029355130515272
118102,3.323666950380754e-05,3.587747520658847e-05,-7.9454582610282385,0.9039702190150245,0.936773367514748
80643,0.00016254808127613227,0.0001479937077456129,8.953888238025279,0.6663620509353206,0.7243641023902428
40817,0.0002408180261375478,0.0001865638048076954,22.52913629433375,0.8823254930350912,0.9103699982534535
133332,0.0009118477314867753,0.00079897932229383,12.377988703104236,0.4225931341680668,0.4738047904860209
120129,3.8842596033953196e-05,2.781144164364046e-05,28.39963214783624,0.7403958642738967,0.7576065107252102
31244,0.0003443487893584323,0.00016894364056407456,50.93822142402792,0.778864403879124,0.886159918588412
68731,0.0010973046266924999,0.0009153246409657499,16.584272161074797,0.758162581661995,0.7994899398322115
47115,6.0170556718849306e-05,4.472110178728161e-05,25.67610435076452,0.8607345738339576,0.8990437371167036
100635,5.6966634088947124e-05,3.504062702076275e-06,93.84892093746478,0.7585187433461739,0.9890655808875661
47746,0.0003182676800716374,0.00028608022233386456,10.1133290475891,0.7849439996040687,0.9138149619661616
100412,0.00012474149404649392,0.00018221858782597282,-46.076964380477854,0.8690131460154285,0.9321065547773427
120526,6.557947518891025e-05,8.736057581246355e-06,86.67867109933253,0.7281277617952657,0.9641756138599556
33459,0.00017794236343868006,0.00018527457797042405,-4.12055588677775,0.7269220478510996,0.7823239497258309
126259,0.00024319070676432727,0.00023856186563076808,1.9033791196819605,0.8955595614805912,0.8329031204717384
4312,0.004430724315921256,0.0029850983548220878,32.62730556050376,0.6783728531612416,0.898264659766904
93121,0.0001543106801661425,0.00014489092948748283,6.104406168463286,0.8404369288553131,0.8381038634957269
77857,8.708813346590127e-05,0.00012717862454512168,-46.03439008704619,0.705586102088835,0.5737944138571042
13728,4.424664518143404e-05,2.5553548007169144e-05,42.247490397551196,0.8863352101428004,0.992309279086037
49384,0.0003883978875014289,0.0006439591206136669,-65.798821604378,0.8746474114306222,0.6710427924642479
120190,0.00010547590160147955,3.734866835961968e-05,64.59033031001294,0.5357996126159486,0.8418728579007154
89325,0.00023990955044579705,0.00018604142955561288,22.45351249672515,0.800985305543441,0.8408473214746797
35503,0.0001363837601167894,0.000233469876812975,-71.18598036382625,0.9120804233125619,0.8297055923651863
35786,4.952950872244155e-05,9.609388267557071e-06,80.598660242307,0.814980882124925,0.9644326559470261
19689,2.3564278595740488e-05,3.743855603713735e-05,-58.87843069341743,0.8655851074840181,0.7232583324579073
85055,8.576554854333698e-05,1.80975813115638e-05,78.89877506885044,0.8672498944788534,0.9738704192721584
86707,0.00017471305692750362,6.738802515139454e-05,61.42931367782266,0.7343120616710171,0.9687017399003791
87432,5.23541367718397e-05,2.1887996618321533e-05,58.19242190218926,0.7862075815838638,0.9281101285351133
51910,0.0002763313721623887,0.0004742044853885778,-71.60718367869832,0.8092570724464317,0.6388876791073608
13730,5.51415990409953e-05,2.0704092983348717e-06,96.24528607377594,0.8932136539088168,0.9920340741146617
55514,0.0001966043421606987,0.000539198096470212,-174.2554363471215,0.848510508433118,0.9463497610120374
99562,0.00011415044798035199,5.751584657473332e-05,49.61399837464224,0.5911372189400618,0.6255791286012675
100926,5.221149364032373e-05,2.6653289754793635e-05,48.95129808313146,0.7084088888900405,0.8221435958594744
12887,3.8193847464833394e-05,6.058377948469552e-05,-58.62182918460213,0.9241564612390698,0.9647431344135471
111714,6.263906035911222e-05,7.023978957633001e-05,-12.134168637975257,0.9004944745131217,0.8780814924555425
65378,0.0001527698299365931,0.0002455335485132997,-60.721229195062946,0.8617715199214504,0.7548113517243256
45246,0.00010603583476117568,5.15649711361587e-05,51.370240775395985,0.8062933873433589,0.9544096064690535
9507,5.105481803706449e-05,2.8966646080018068e-05,43.26363858747078,0.7350983871356163,0.9910011585921467
1754,8.271431585386927e-05,9.767897623298248e-05,-18.091983503256145,0.8048673191449847,0.8248039691045651
97164,0.00020180771008630708,7.667070242337905e-05,62.00804102549437,0.8524638442518804,0.9453291447378391
122841,0.0002063993588159865,3.525943486032768e-05,82.91688740575842,0.7178016250481897,0.9593611035025114
64142,6.1031185310570944e-05,2.4741641803156162e-05,59.4606565852314,0.6960906154309363,0.9671091548810712
96335,7.049906266969344e-05,1.9060943609779148e-05,72.96284108189543,0.7309480028652582,0.8293242158015129
28318,0.0004149714712767972,0.00040164921579560395,3.2104027393022725,0.7711194189622095,0.6967379011535862
101567,5.804742947058842e-05,5.76942371944651e-05,0.6084546367419732,0.8556841748676077,0.8851133002686308
70948,9.697522574142818e-05,5.853695863832182e-05,39.63720301677565,0.6392171675285738,0.7967003158062242
66929,5.9518218327028055e-05,2.3518205371556577e-05,60.485703314683,0.7114855515987889,0.9498233928562956
130375,0.0010620173500006072,0.0013207057152541206,-24.35820518877262,0.6093444767376398,0.4820242476168782
70778,5.354664336765153e-05,1.929476358937294e-05,63.966436781302995,0.6890148800700232,0.8608617986493374
